Order_ID,Order_Date,Customer_ID,Customer_Type,Product,Category,Region,Sales_Channel,Quantity,Unit_Price_NGN,Unit_Cost_NGN,Discount_%,Revenue_NGN,Cost_NGN,Profit_NGN,Profit_Margin_%,Payment_Method
ORD-01294,2025-01-02,CUST-1437,New,Premium Smartphone,Electronics,South West,Physical Store,1,178500,140600,0.05,169575,140600,28975,17.09,Bank Transfer
ORD-06057,2025-01-02,CUST-0355,Returning,Power Bank,Electronics,South East,Online,2,18000,11700,0.16,30240,23400,6840,22.62,Cash
ORD-06076,2025-01-02,CUST-0116,New,Blender,Home Appliances,South South,Physical Store,4,55000,36400,0.07,204600,145600,59000,28.84,USSD
ORD-00381,2025-01-02,CUST-0532,New,Budget Smartphone,Electronics,North Central,Physical Store,1,83900,62200,0.03,81383,62200,19183,23.57,Card
ORD-01237,2025-01-02,CUST-0639,Returning,Electric Kettle,Home Appliances,South East,Online,3,30100,19100,0.05,85785,57300,28485,33.21,Cash
ORD-00845,2025-01-02,CUST-0325,Returning,Bluetooth Speaker,Electronics,South South,Physical Store,1,45800,29900,0.05,43510,29900,13610,31.28,Bank Transfer
ORD-02628,2025-01-02,CUST-0284,New,Hoodie,Fashion,North Central,Online,1,43700,26500,0.18,35834,26500,9334,26.05,Bank Transfer
ORD-06414,2025-01-02,CUST-1654,New,Electric Kettle,Home Appliances,South West,Physical Store,4,29600,19700,0.1,106560,78800,27760,26.05,Bank Transfer
ORD-01739,2025-01-02,CUST-1319,Returning,Premium Smartphone,Electronics,South West,Physical Store,1,192000,142700,0.05,182400,142700,39700,21.77,Cash
ORD-05170,2025-01-02,CUST-1349,Returning,Blender,Home Appliances,North Central,Online,1,57100,36000,0.06,53674,36000,17674,32.93,Card
ORD-01622,2025-01-02,CUST-1082,New,Blender,Home Appliances,North West,Online,3,55600,36900,0.14,143448,110700,32748,22.83,Bank Transfer
ORD-01550,2025-01-02,CUST-0785,New,Backpack,Fashion,South South,Physical Store,1,34400,22200,0.0,34400,22200,12200,35.47,Bank Transfer
ORD-05297,2025-01-02,CUST-0339,Returning,Sneakers,Fashion,South West,Online,1,46300,30400,0.18,37966,30400,7566,19.93,Card
ORD-04689,2025-01-03,CUST-1276,Returning,Electric Kettle,Home Appliances,North West,Physical Store,1,31000,19100,0.17,25730,19100,6630,25.77,Bank Transfer
ORD-00707,2025-01-03,CUST-0283,New,Power Bank,Electronics,South South,Physical Store,3,18200,11700,0.21,43134,35100,8034,18.63,Cash
ORD-04055,2025-01-03,CUST-1563,New,Power Bank,Electronics,South South,Online,4,17500,11300,0.1,63000,45200,17800,28.25,Bank Transfer
ORD-04361,2025-01-03,CUST-1307,New,Bluetooth Speaker,Electronics,South West,Online,2,45300,30800,0.22,70668,61600,9068,12.83,Bank Transfer
ORD-03399,2025-01-03,CUST-0135,Returning,Hoodie,Fashion,North Central,Social Media,2,42700,26500,0.1,76860,53000,23860,31.04,Card
ORD-00465,2025-01-03,CUST-0147,Returning,Power Bank,Electronics,South East,Physical Store,1,18800,11400,0.05,17860,11400,6460,36.17,Bank Transfer
ORD-02401,2025-01-03,CUST-0585,Returning,Premium Smartphone,Electronics,North Central,Physical Store,3,185900,141000,0.11,496353,423000,73353,14.78,USSD
ORD-06878,2025-01-03,CUST-1525,Returning,Premium Smartphone,Electronics,South South,Online,1,180700,141600,0.3,126490,141600,-15110,-11.95,Card
ORD-02202,2025-01-03,CUST-0452,Returning,Rice Cooker,Home Appliances,South West,Physical Store,5,53800,35400,0.17,223270,177000,46270,20.72,Card
ORD-04885,2025-01-03,CUST-1096,New,Air Fryer,Home Appliances,South South,Online,4,79700,53900,0.1,286920,215600,71320,24.86,Bank Transfer
ORD-00104,2025-01-03,CUST-0209,Returning,Wireless Earbuds,Electronics,South West,Online,3,30700,20500,0.05,87495,61500,25995,29.71,Cash
ORD-06926,2025-01-03,CUST-1012,Returning,Backpack,Fashion,South East,Online,1,34500,21400,0.2,27600,21400,6200,22.46,Bank Transfer
ORD-05844,2025-01-03,CUST-0431,Returning,Backpack,Fashion,South East,Online,2,35900,22200,0.03,69646,44400,25246,36.25,Card
ORD-01190,2025-01-03,CUST-0340,New,Air Fryer,Home Appliances,South South,Online,3,79600,51100,0.12,210144,153300,56844,27.05,Card
ORD-05719,2025-01-03,CUST-0076,Returning,Premium Smartphone,Electronics,South East,Online,4,177400,137400,0.07,659928,549600,110328,16.72,Cash
ORD-01279,2025-01-03,CUST-0774,Returning,Wireless Earbuds,Electronics,South East,Physical Store,2,32700,21000,0.01,64746,42000,22746,35.13,Card
ORD-00575,2025-01-03,CUST-1620,Returning,Air Fryer,Home Appliances,South South,Physical Store,2,77900,53400,0.03,151126,106800,44326,29.33,Bank Transfer
ORD-06155,2025-01-03,CUST-1743,New,Wireless Earbuds,Electronics,South East,Online,1,31700,21700,0.14,27262,21700,5562,20.4,Card
ORD-04768,2025-01-04,CUST-1286,New,Budget Smartphone,Electronics,South South,Physical Store,1,83900,61400,0.06,78866,61400,17466,22.15,Bank Transfer
ORD-01175,2025-01-04,CUST-0185,New,Rice Cooker,Home Appliances,South West,Online,2,53200,34600,0.1,95760,69200,26560,27.74,Card
ORD-06591,2025-01-04,CUST-0112,Returning,Backpack,Fashion,North Central,Online,2,34600,21500,0.13,60204,43000,17204,28.58,Cash
ORD-01763,2025-01-04,CUST-0610,Returning,Budget Smartphone,Electronics,South West,Social Media,2,88200,61400,0.12,155232,122800,32432,20.89,Bank Transfer
ORD-04131,2025-01-04,CUST-1065,Returning,Bluetooth Speaker,Electronics,South West,Online,2,45100,29700,0.01,89298,59400,29898,33.48,Card
ORD-00303,2025-01-04,CUST-1478,Returning,Premium Smartphone,Electronics,South East,Physical Store,2,180000,145100,0.08,331200,290200,41000,12.38,USSD
ORD-05603,2025-01-04,CUST-1042,Returning,Budget Smartphone,Electronics,South West,Online,2,83500,61400,0.21,131930,122800,9130,6.92,Bank Transfer
ORD-04788,2025-01-04,CUST-0575,New,Sneakers,Fashion,North West,Online,3,48800,30200,0.03,142008,90600,51408,36.2,Card
ORD-01532,2025-01-04,CUST-1416,Returning,Premium Smartphone,Electronics,South West,Physical Store,3,188000,134900,0.12,496320,404700,91620,18.46,Cash
ORD-02443,2025-01-04,CUST-0929,New,Bluetooth Speaker,Electronics,South South,Online,1,44400,30500,0.21,35076,30500,4576,13.05,Card
ORD-01807,2025-01-04,CUST-1194,New,Hoodie,Fashion,South West,Online,1,42900,27800,0.12,37752,27800,9952,26.36,Card
ORD-03725,2025-01-04,CUST-0955,Returning,Blender,Home Appliances,South West,Online,1,54000,36600,0.29,38340,36600,1740,4.54,Card
ORD-06754,2025-01-04,CUST-0915,Returning,Electric Kettle,Home Appliances,South East,Online,2,29800,19900,0.11,53044,39800,13244,24.97,Bank Transfer
ORD-01070,2025-01-04,CUST-1388,Returning,Air Fryer,Home Appliances,South East,Social Media,3,78100,53900,0.18,192126,161700,30426,15.84,Card
ORD-03799,2025-01-04,CUST-0398,Returning,Power Bank,Electronics,South South,Physical Store,3,17800,11600,0.27,38982,34800,4182,10.73,Card
ORD-04393,2025-01-05,CUST-0252,Returning,Bluetooth Speaker,Electronics,South West,Online,2,45400,29900,0.01,89892,59800,30092,33.48,USSD
ORD-03822,2025-01-05,CUST-1572,New,Blender,Home Appliances,North West,Social Media,3,55100,36300,0.09,150423,108900,41523,27.6,Card
ORD-05438,2025-01-05,CUST-1499,Returning,Power Bank,Electronics,South East,Online,2,18300,11200,0.19,29646,22400,7246,24.44,Cash
ORD-06436,2025-01-05,CUST-1147,Returning,Premium Smartphone,Electronics,South South,Online,2,179800,141900,0.13,312852,283800,29052,9.29,Bank Transfer
ORD-03904,2025-01-05,CUST-0267,Returning,Sneakers,Fashion,South South,Online,2,46300,30400,0.03,89822,60800,29022,32.31,Cash
ORD-06151,2025-01-05,CUST-0075,New,Power Bank,Electronics,South South,Physical Store,2,18900,11400,0.16,31752,22800,8952,28.19,Card
ORD-06642,2025-01-05,CUST-0860,Returning,Wireless Earbuds,Electronics,North West,Online,1,33900,21100,0.07,31527,21100,10427,33.07,USSD
ORD-01682,2025-01-05,CUST-0197,Returning,Power Bank,Electronics,South West,Physical Store,1,18200,11800,0.22,14196,11800,2396,16.88,Card
ORD-05916,2025-01-05,CUST-1195,New,Premium Smartphone,Electronics,North Central,Physical Store,3,188400,139900,0.04,542592,419700,122892,22.65,Bank Transfer
ORD-06747,2025-01-05,CUST-1541,New,Rice Cooker,Home Appliances,South West,Physical Store,2,51600,34300,0.11,91848,68600,23248,25.31,Bank Transfer
ORD-05078,2025-01-05,CUST-0058,Returning,Bluetooth Speaker,Electronics,North West,Physical Store,1,44800,29400,0.16,37632,29400,8232,21.88,USSD
ORD-00790,2025-01-05,CUST-1773,Returning,Budget Smartphone,Electronics,South West,Physical Store,2,84300,61000,0.22,131508,122000,9508,7.23,Bank Transfer
ORD-00801,2025-01-05,CUST-0213,Returning,Hoodie,Fashion,South South,Physical Store,4,41500,27800,0.11,147740,111200,36540,24.73,Bank Transfer
ORD-05880,2025-01-05,CUST-0370,New,Rice Cooker,Home Appliances,South East,Online,2,54900,34500,0.02,107604,69000,38604,35.88,Bank Transfer
ORD-06527,2025-01-06,CUST-0692,Returning,Fitness Band,Wearables,North Central,Physical Store,1,36700,24500,0.09,33397,24500,8897,26.64,Cash
ORD-00889,2025-01-06,CUST-0762,New,Smart Watch,Wearables,South South,Physical Store,3,65300,41300,0.0,195900,123900,72000,36.75,Card
ORD-07489,2025-01-06,CUST-0520,New,Wireless Earbuds,Electronics,North Central,Online,3,32100,20700,0.09,87633,62100,25533,29.14,Cash
ORD-01038,2025-01-06,CUST-0034,Returning,Air Fryer,Home Appliances,North Central,Physical Store,3,78600,52500,0.1,212220,157500,54720,25.78,Bank Transfer
ORD-06142,2025-01-06,CUST-0240,Returning,Backpack,Fashion,South West,Online,2,33500,22300,0.14,57620,44600,13020,22.6,Bank Transfer
ORD-00410,2025-01-06,CUST-0898,Returning,Power Bank,Electronics,South South,Social Media,2,18300,11900,0.26,27084,23800,3284,12.13,Cash
ORD-04046,2025-01-06,CUST-1648,New,Hoodie,Fashion,North Central,Online,2,39900,27600,0.12,70224,55200,15024,21.39,Card
ORD-01121,2025-01-06,CUST-0483,New,Backpack,Fashion,South West,Social Media,3,35400,21300,0.03,103014,63900,39114,37.97,Bank Transfer
ORD-04931,2025-01-06,CUST-0911,Returning,Power Bank,Electronics,South South,Social Media,2,17900,11200,0.14,30788,22400,8388,27.24,Bank Transfer
ORD-04104,2025-01-06,CUST-1538,New,Rice Cooker,Home Appliances,South West,Physical Store,1,52000,34600,0.05,49400,34600,14800,29.96,Card
ORD-04230,2025-01-06,CUST-1623,New,Premium Smartphone,Electronics,South West,Online,1,187300,145400,0.2,149840,145400,4440,2.96,Cash
ORD-07135,2025-01-06,CUST-0968,Returning,Electric Kettle,Home Appliances,North West,Physical Store,1,30500,20400,0.05,28975,20400,8575,29.59,Bank Transfer
ORD-03103,2025-01-06,CUST-1048,New,Sneakers,Fashion,South East,Physical Store,3,49100,29600,0.1,132570,88800,43770,33.02,Bank Transfer
ORD-07227,2025-01-06,CUST-1028,Returning,Budget Smartphone,Electronics,South West,Social Media,2,86300,63000,0.09,157066,126000,31066,19.78,Card
ORD-03136,2025-01-06,CUST-1767,New,Smart Watch,Wearables,North West,Physical Store,2,61700,41000,0.07,114762,82000,32762,28.55,Cash
ORD-06471,2025-01-06,CUST-1389,Returning,Air Fryer,Home Appliances,North Central,Physical Store,1,75900,55300,0.12,66792,55300,11492,17.21,Card
ORD-00839,2025-01-06,CUST-0978,New,Power Bank,Electronics,South East,Online,2,17200,11300,0.24,26144,22600,3544,13.56,Card
ORD-05142,2025-01-06,CUST-0737,New,Wireless Earbuds,Electronics,South East,Social Media,3,33100,21000,0.13,86391,63000,23391,27.08,Cash
ORD-06281,2025-01-06,CUST-1108,Returning,Wireless Earbuds,Electronics,South East,Physical Store,3,32000,20600,0.1,86400,61800,24600,28.47,Bank Transfer
ORD-00415,2025-01-07,CUST-1679,Returning,Fitness Band,Wearables,South East,Physical Store,1,37600,24100,0.03,36472,24100,12372,33.92,Card
ORD-01366,2025-01-07,CUST-1470,New,Fitness Band,Wearables,North West,Physical Store,3,36900,24500,0.04,106272,73500,32772,30.84,Card
ORD-01652,2025-01-07,CUST-0513,Returning,Blender,Home Appliances,South South,Physical Store,2,58500,36700,0.12,102960,73400,29560,28.71,Bank Transfer
ORD-07064,2025-01-07,CUST-0711,Returning,Air Fryer,Home Appliances,South East,Online,3,81300,52700,0.23,187803,158100,29703,15.82,Card
ORD-04527,2025-01-07,CUST-0333,Returning,Bluetooth Speaker,Electronics,South West,Online,1,44100,29600,0.12,38808,29600,9208,23.73,Card
ORD-03898,2025-01-07,CUST-0751,New,Backpack,Fashion,South West,Social Media,3,35700,22300,0.06,100674,66900,33774,33.55,Bank Transfer
ORD-01594,2025-01-07,CUST-1067,New,Backpack,Fashion,South East,Online,2,35100,21800,0.23,54054,43600,10454,19.34,USSD
ORD-02975,2025-01-07,CUST-1501,New,Backpack,Fashion,South West,Online,3,34800,21200,0.09,95004,63600,31404,33.06,Bank Transfer
ORD-05068,2025-01-07,CUST-0835,New,Premium Smartphone,Electronics,North Central,Physical Store,2,184100,143500,0.03,357154,287000,70154,19.64,Card
ORD-04117,2025-01-07,CUST-0581,Returning,Blender,Home Appliances,South South,Physical Store,1,54400,36800,0.21,42976,36800,6176,14.37,Bank Transfer
ORD-03858,2025-01-07,CUST-1337,Returning,Rice Cooker,Home Appliances,South South,Online,1,52500,34800,0.09,47775,34800,12975,27.16,USSD
ORD-04505,2025-01-07,CUST-0040,New,Hoodie,Fashion,South East,Online,2,42400,26700,0.08,78016,53400,24616,31.55,Card
ORD-01624,2025-01-07,CUST-1680,Returning,Air Fryer,Home Appliances,South East,Physical Store,3,80100,53700,0.0,240300,161100,79200,32.96,Bank Transfer
ORD-03505,2025-01-07,CUST-1556,Returning,Sneakers,Fashion,South West,Social Media,1,47300,30000,0.12,41624,30000,11624,27.93,Card
ORD-05745,2025-01-07,CUST-0815,Returning,Sneakers,Fashion,South South,Online,1,48500,30400,0.06,45590,30400,15190,33.32,Card
ORD-00478,2025-01-07,CUST-0047,New,Budget Smartphone,Electronics,South South,Physical Store,2,81700,61600,0.04,156864,123200,33664,21.46,Bank Transfer
ORD-04563,2025-01-08,CUST-1366,New,Standing Fan,Home Appliances,South South,Online,1,67100,46500,0.08,61732,46500,15232,24.67,Bank Transfer
ORD-05897,2025-01-08,CUST-1652,New,Rice Cooker,Home Appliances,South West,Physical Store,1,51000,34900,0.07,47430,34900,12530,26.42,Cash
ORD-04062,2025-01-08,CUST-0454,Returning,Electric Kettle,Home Appliances,South East,Social Media,3,29700,19700,0.0,89100,59100,30000,33.67,Cash
ORD-06918,2025-01-08,CUST-0766,Returning,Standing Fan,Home Appliances,South South,Physical Store,1,68200,45600,0.2,54560,45600,8960,16.42,Bank Transfer
ORD-03788,2025-01-08,CUST-1433,New,Premium Smartphone,Electronics,North Central,Online,3,182200,135700,0.05,519270,407100,112170,21.6,Bank Transfer
ORD-05411,2025-01-08,CUST-0969,New,Sneakers,Fashion,South West,Online,3,49100,30200,0.12,129624,90600,39024,30.11,Card
ORD-00540,2025-01-08,CUST-1476,New,Backpack,Fashion,South East,Online,1,35000,22200,0.14,30100,22200,7900,26.25,Bank Transfer
ORD-03804,2025-01-08,CUST-1242,Returning,Smart Watch,Wearables,South South,Physical Store,3,64600,41200,0.07,180234,123600,56634,31.42,Cash
ORD-00233,2025-01-08,CUST-1637,New,Backpack,Fashion,South East,Online,3,35000,22000,0.05,99750,66000,33750,33.83,Cash
ORD-05621,2025-01-08,CUST-0114,New,Blender,Home Appliances,North West,Social Media,2,55100,35800,0.05,104690,71600,33090,31.61,Bank Transfer
ORD-00300,2025-01-08,CUST-0530,Returning,Budget Smartphone,Electronics,South East,Physical Store,1,81900,64100,0.1,73710,64100,9610,13.04,Cash
ORD-01529,2025-01-08,CUST-0909,New,Power Bank,Electronics,South South,Online,2,17600,11300,0.1,31680,22600,9080,28.66,Card
ORD-02090,2025-01-08,CUST-1664,Returning,Budget Smartphone,Electronics,South South,Online,2,87500,60600,0.02,171500,121200,50300,29.33,Bank Transfer
ORD-02171,2025-01-08,CUST-0190,Returning,Backpack,Fashion,South West,Online,2,37700,21900,0.03,73138,43800,29338,40.11,Cash
ORD-06893,2025-01-08,CUST-1264,New,Bluetooth Speaker,Electronics,North Central,Social Media,2,44900,30200,0.04,86208,60400,25808,29.94,Bank Transfer
ORD-05746,2025-01-08,CUST-1203,Returning,Budget Smartphone,Electronics,South South,Online,2,86400,62000,0.21,136512,124000,12512,9.17,Bank Transfer
ORD-05035,2025-01-08,CUST-1082,Returning,Sneakers,Fashion,North Central,Physical Store,2,47800,30900,0.17,79348,61800,17548,22.12,USSD
ORD-06707,2025-01-09,CUST-0189,Returning,Air Fryer,Home Appliances,South West,Physical Store,1,83400,53100,0.07,77562,53100,24462,31.54,Bank Transfer
ORD-00170,2025-01-09,CUST-1224,Returning,Air Fryer,Home Appliances,South West,Social Media,1,76100,52800,0.07,70773,52800,17973,25.4,Card
ORD-03805,2025-01-09,CUST-1022,New,Electric Kettle,Home Appliances,South East,Social Media,3,29400,19300,0.22,68796,57900,10896,15.84,Cash
ORD-06219,2025-01-09,CUST-0641,Returning,Smart Watch,Wearables,South South,Physical Store,1,59500,40400,0.1,53550,40400,13150,24.56,Card
ORD-01167,2025-01-09,CUST-1413,New,Budget Smartphone,Electronics,North Central,Social Media,4,82700,62800,0.28,238176,251200,-13024,-5.47,Bank Transfer
ORD-03947,2025-01-09,CUST-1201,Returning,Blender,Home Appliances,South West,Social Media,1,56200,36900,0.22,43836,36900,6936,15.82,Cash
ORD-04076,2025-01-09,CUST-0490,Returning,Standing Fan,Home Appliances,South South,Online,2,68400,45600,0.1,123120,91200,31920,25.93,Card
ORD-02261,2025-01-09,CUST-1785,Returning,Rice Cooker,Home Appliances,North Central,Online,2,51400,34800,0.01,101772,69600,32172,31.61,Bank Transfer
ORD-00369,2025-01-09,CUST-1578,Returning,Budget Smartphone,Electronics,South West,Online,1,85500,61700,0.07,79515,61700,17815,22.4,Cash
ORD-00821,2025-01-09,CUST-0242,Returning,Air Fryer,Home Appliances,South West,Physical Store,1,78000,51300,0.02,76440,51300,25140,32.89,Card
ORD-02138,2025-01-09,CUST-1536,New,Budget Smartphone,Electronics,South South,Physical Store,1,89900,62400,0.05,85405,62400,23005,26.94,Bank Transfer
ORD-03119,2025-01-09,CUST-0116,New,Sneakers,Fashion,South East,Social Media,4,48000,29900,0.11,170880,119600,51280,30.01,Bank Transfer
ORD-04700,2025-01-09,CUST-0210,Returning,Backpack,Fashion,North Central,Physical Store,1,34900,22600,0.06,32806,22600,10206,31.11,Bank Transfer
ORD-01744,2025-01-09,CUST-0690,Returning,Hoodie,Fashion,South West,Online,2,42500,26300,0.02,83300,52600,30700,36.85,USSD
ORD-03309,2025-01-09,CUST-0202,Returning,Air Fryer,Home Appliances,South East,Online,4,77900,53500,0.07,289788,214000,75788,26.15,Bank Transfer
ORD-02712,2025-01-09,CUST-1378,Returning,Wireless Earbuds,Electronics,North Central,Online,3,32200,21200,0.17,80178,63600,16578,20.68,Bank Transfer
ORD-03442,2025-01-09,CUST-0635,New,Smart Watch,Wearables,South West,Online,2,64200,40500,0.09,116844,81000,35844,30.68,Card
ORD-01783,2025-01-09,CUST-0573,New,Backpack,Fashion,South West,Online,4,36200,22100,0.09,131768,88400,43368,32.91,Bank Transfer
ORD-05774,2025-01-09,CUST-0238,Returning,Rice Cooker,Home Appliances,South West,Physical Store,3,52900,33800,0.02,155526,101400,54126,34.8,Cash
ORD-00272,2025-01-09,CUST-0998,Returning,Backpack,Fashion,South South,Online,4,34200,22500,0.04,131328,90000,41328,31.47,Cash
ORD-04645,2025-01-10,CUST-0542,New,Bluetooth Speaker,Electronics,South South,Physical Store,2,44400,29200,0.0,88800,58400,30400,34.23,Cash
ORD-02469,2025-01-10,CUST-0309,Returning,Electric Kettle,Home Appliances,South South,Physical Store,2,29000,19100,0.05,55100,38200,16900,30.67,Cash
ORD-06600,2025-01-10,CUST-0377,Returning,Smart Watch,Wearables,North Central,Physical Store,2,63000,39700,0.0,126000,79400,46600,36.98,Bank Transfer
ORD-05405,2025-01-10,CUST-0627,New,Wireless Earbuds,Electronics,South West,Online,3,32400,20900,0.08,89424,62700,26724,29.88,Cash
ORD-06666,2025-01-10,CUST-0205,Returning,Blender,Home Appliances,North West,Online,3,55200,36300,0.01,163944,108900,55044,33.57,Bank Transfer
ORD-06107,2025-01-10,CUST-0943,Returning,Sneakers,Fashion,South East,Physical Store,1,47500,29800,0.26,35150,29800,5350,15.22,Card
ORD-03486,2025-01-10,CUST-0357,New,Bluetooth Speaker,Electronics,North Central,Online,5,46400,29400,0.06,218080,147000,71080,32.59,Card
ORD-06616,2025-01-10,CUST-0026,Returning,Premium Smartphone,Electronics,South South,Physical Store,4,182900,144400,0.06,687704,577600,110104,16.01,Cash
ORD-02636,2025-01-10,CUST-1700,New,Rice Cooker,Home Appliances,North Central,Physical Store,1,50600,34300,0.09,46046,34300,11746,25.51,Bank Transfer
ORD-07485,2025-01-10,CUST-1271,New,Bluetooth Speaker,Electronics,North Central,Social Media,3,46100,30000,0.14,118938,90000,28938,24.33,Card
ORD-04260,2025-01-10,CUST-1246,Returning,Power Bank,Electronics,South East,Online,2,17000,11700,0.18,27880,23400,4480,16.07,Bank Transfer
ORD-02329,2025-01-10,CUST-0559,Returning,Premium Smartphone,Electronics,South South,Social Media,1,193200,134100,0.04,185472,134100,51372,27.7,Bank Transfer
ORD-07398,2025-01-10,CUST-0118,New,Sneakers,Fashion,South South,Social Media,3,49000,30900,0.1,132300,92700,39600,29.93,Bank Transfer
ORD-05162,2025-01-10,CUST-0533,Returning,Premium Smartphone,Electronics,South West,Physical Store,1,186200,139000,0.04,178752,139000,39752,22.24,Card
